threshold,precision,recall,f1
0.1,0.8522727272727273,1.0,0.9202453987730062
0.15,0.9493670886075949,1.0,0.974025974025974
0.2,0.974025974025974,1.0,0.9868421052631579
0.25,1.0,1.0,1.0
0.3,1.0,1.0,1.0
0.35,1.0,1.0,1.0
0.4,1.0,1.0,1.0
0.45,1.0,1.0,1.0
0.5,1.0,1.0,1.0
0.55,1.0,1.0,1.0
0.6,1.0,0.9866666666666667,0.9932885906040269
0.65,1.0,0.96,0.9795918367346939
0.7,1.0,0.9466666666666667,0.9726027397260274
0.75,1.0,0.92,0.9583333333333334
0.8,1.0,0.88,0.9361702127659575
0.85,1.0,0.8133333333333334,0.8970588235294118
0.9,1.0,0.6533333333333333,0.7903225806451613
